"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2021-02-01,"AIAE.Not Latino","45 to 54",0.0534797386593821,0.0716615635891765,92
2021-03-01,"AIAE.Not Latino","45 to 54",0.0337206398906379,0.0227376252254244,80
2021-04-01,"AIAE.Not Latino","45 to 54",0.0366938155941281,0.0397280677520612,85
2021-05-01,"AIAE.Not Latino","45 to 54",0,0.0622751525248232,69
2021-06-01,"AIAE.Not Latino","45 to 54",0.0322144367301588,0.0299591244943842,86
2020-02-01,"AIAE.Not Latino","55 to 64",0.0160365482719455,0.0199997710837466,93
2020-03-01,"AIAE.Not Latino","55 to 64",0.0531204354263745,0.0721128507600434,79
2020-04-01,"AIAE.Not Latino","55 to 64",0.147281595155388,0.0745313594964128,70
2020-05-01,"AIAE.Not Latino","55 to 64",0.0384828617852112,0.0946248365943136,68
2020-06-01,"AIAE.Not Latino","55 to 64",0.0499043489960607,0.112584199727667,71
2020-07-01,"AIAE.Not Latino","55 to 64",0.107638646428627,0.123643631626635,65
2020-08-01,"AIAE.Not Latino","55 to 64",0.0744729381052323,0.110580010201346,83
2020-09-01,"AIAE.Not Latino","55 to 64",0.00232864918944334,0.04381006376061,81
2020-10-01,"AIAE.Not Latino","55 to 64",0.0330994900800095,0.0886292301281951,84
2020-11-01,"AIAE.Not Latino","55 to 64",0.0192542374727108,0.177117418575155,72
2020-12-01,"AIAE.Not Latino","55 to 64",0.0398521981558678,0.0931492073308916,63
2021-01-01,"AIAE.Not Latino","55 to 64",0.0782767948251225,0.0549114350912775,71
2021-02-01,"AIAE.Not Latino","55 to 64",0.0367044313408857,0.0274922816175747,72
2021-03-01,"AIAE.Not Latino","55 to 64",0.00863842007526402,0.101556258537593,74
2021-04-01,"AIAE.Not Latino","55 to 64",0.0343997744298663,0.0319137846566627,60
2021-05-01,"AIAE.Not Latino","55 to 64",0.0566407141658644,0.00870394135832797,80
2021-06-01,"AIAE.Not Latino","55 to 64",0.0548513876317322,0.0272388722543417,73
2020-02-01,"AIAE.Not Latino","65 or older",0.0260051406177978,0.00721113902538473,35
2020-03-01,"AIAE.Not Latino","65 or older",0.0506145513859471,0.0409081260463696,31
2020-04-01,"AIAE.Not Latino","65 or older",0.0365529260534808,0.0897733784984864,23
2020-05-01,"AIAE.Not Latino","65 or older",0.0941812742227241,0.222727079020482,19
2020-06-01,"AIAE.Not Latino","65 or older",0.241074995801447,0,12
2020-07-01,"AIAE.Not Latino","65 or older",0.324142473862079,0.156430801434567,21
2020-08-01,"AIAE.Not Latino","65 or older",0.23300058535919,0.203342749508605,20
2020-09-01,"AIAE.Not Latino","65 or older",0.114360329679122,0.0139949437589143,33
2020-10-01,"AIAE.Not Latino","65 or older",0.183731322724864,0.158700159158264,35
2020-11-01,"AIAE.Not Latino","65 or older",0.146272740102527,0.0970691231272339,32
2020-12-01,"AIAE.Not Latino","65 or older",0.0503336458828543,0.113817613864605,33
2021-01-01,"AIAE.Not Latino","65 or older",0.00519621813897036,0.055478789236228,26
2021-02-01,"AIAE.Not Latino","65 or older",0.0768896528281712,0,28
2021-03-01,"AIAE.Not Latino","65 or older",0.0190330763451218,0.0795932870114752,28
2021-04-01,"AIAE.Not Latino","65 or older",0.125096357117636,0.0563366598144525,29
2021-05-01,"AIAE.Not Latino","65 or older",0.106074334049081,0.0634992015913532,29
2021-06-01,"AIAE.Not Latino","65 or older",0.221899233021493,0.119471857487952,25
2020-02-01,"Asian.Not Latino","16 to 24",0.0255593542921002,0.0538671880957616,283
2020-03-01,"Asian.Not Latino","16 to 24",0.0419169745071726,0.0751919856574409,220
2020-04-01,"Asian.Not Latino","16 to 24",0.0551305484782851,0.251393159137665,213
2020-05-01,"Asian.Not Latino","16 to 24",0.0725849320448515,0.32661758903164,184
2020-06-01,"Asian.Not Latino","16 to 24",0.0357292721148656,0.272401186405198,200
2020-07-01,"Asian.Not Latino","16 to 24",0.0189841316559707,0.240947573483084,227
2020-08-01,"Asian.Not Latino","16 to 24",0.0345126001573446,0.191130811971223,231
2020-09-01,"Asian.Not Latino","16 to 24",0.0382014542491941,0.146057836249301,251
2020-10-01,"Asian.Not Latino","16 to 24",0.020789924010093,0.111081914410795,278
2020-11-01,"Asian.Not Latino","16 to 24",0.0314582558000475,0.0914007313865619,243
2020-12-01,"Asian.Not Latino","16 to 24",0.0302492644542422,0.102072499394323,234
2021-01-01,"Asian.Not Latino","16 to 24",0.0473892558507261,0.143653366143064,253
