"month","race_eth2","Age_Group","unemprate","emprate","nsamp"
2020-02-01,"Asian.Not Latino","25 to 34",0.0368812674098086,0.0382820455913454,780
2020-03-01,"Asian.Not Latino","25 to 34",0.0326645107561469,0.0468920036933209,734
2020-04-01,"Asian.Not Latino","25 to 34",0.0876674025409278,0.127099725723009,646
2020-05-01,"Asian.Not Latino","25 to 34",0.0527281339577082,0.155289963734291,603
2020-06-01,"Asian.Not Latino","25 to 34",0.0446434006893436,0.132190703120753,549
2020-07-01,"Asian.Not Latino","25 to 34",0.0263643700228688,0.122950169235057,550
2020-08-01,"Asian.Not Latino","25 to 34",0.040387983972996,0.0971773692368278,596
2020-09-01,"Asian.Not Latino","25 to 34",0.021655846671048,0.0831938690744261,695
2020-10-01,"Asian.Not Latino","25 to 34",0.0148167217590579,0.0555645796004185,738
2020-02-01,"Asian.Not Latino","35 to 44",0.0381667928758843,0.0153205404560901,828
2020-03-01,"Asian.Not Latino","35 to 44",0.0320789688089776,0.0322244855653739,716
2020-04-01,"Asian.Not Latino","35 to 44",0.0943239481506451,0.0986534404912772,681
2020-05-01,"Asian.Not Latino","35 to 44",0.0712700474443139,0.0938538577426945,686
2020-06-01,"Asian.Not Latino","35 to 44",0.0375249670212563,0.110413306797812,687
2020-07-01,"Asian.Not Latino","35 to 44",0.0443680939085421,0.069594767672282,709
2020-08-01,"Asian.Not Latino","35 to 44",0.0549593619589916,0.0644161542435003,724
2020-09-01,"Asian.Not Latino","35 to 44",0.0219724279253775,0.0576667097728897,761
2020-10-01,"Asian.Not Latino","35 to 44",0.0127928566181865,0.0396646923672908,787
2020-02-01,"Asian.Not Latino","45 to 54",0.0334426456122417,0.0218258091313951,745
2020-03-01,"Asian.Not Latino","45 to 54",0.0416725912254287,0.0373878448375443,666
2020-04-01,"Asian.Not Latino","45 to 54",0.106504131821139,0.126243953884318,654
2020-05-01,"Asian.Not Latino","45 to 54",0.102688660460649,0.11610025883807,602
2020-06-01,"Asian.Not Latino","45 to 54",0.048079463413515,0.107518770209761,582
2020-07-01,"Asian.Not Latino","45 to 54",0.0467008099102793,0.11541336094319,586
2020-08-01,"Asian.Not Latino","45 to 54",0.043305780406196,0.0910267655455956,591
2020-09-01,"Asian.Not Latino","45 to 54",0.0225782890908153,0.0867702541068758,677
2020-10-01,"Asian.Not Latino","45 to 54",0.0187771403171731,0.096404080884708,710
2020-02-01,"Asian.Not Latino","55 to 64",0.022994664725889,0.0151578224814414,543
2020-03-01,"Asian.Not Latino","55 to 64",0.0530991924363956,0.0337713850291135,486
2020-04-01,"Asian.Not Latino","55 to 64",0.11394900673966,0.194665017789842,453
2020-05-01,"Asian.Not Latino","55 to 64",0.111775936012545,0.158769161978717,434
2020-06-01,"Asian.Not Latino","55 to 64",0.0399329575343748,0.15041853519866,398
2020-07-01,"Asian.Not Latino","55 to 64",0.0439204157609462,0.124435205950794,389
2020-08-01,"Asian.Not Latino","55 to 64",0.0100004574755463,0.119937182180615,453
2020-09-01,"Asian.Not Latino","55 to 64",0.0117743887494726,0.0987526081748923,510
2020-10-01,"Asian.Not Latino","55 to 64",0.0260549795271557,0.0752426306435021,507
2020-02-01,"Asian.Not Latino","65 or older",0.0726549771616908,0.0081881599668151,206
2020-03-01,"Asian.Not Latino","65 or older",0.0844559442088241,0.0404338957242987,161
2020-04-01,"Asian.Not Latino","65 or older",0.118161009451553,0.154686099743561,148
2020-05-01,"Asian.Not Latino","65 or older",0.0718775638314302,0.19973199816797,153
2020-06-01,"Asian.Not Latino","65 or older",0.0208227491178313,0.20614129324422,147
2020-07-01,"Asian.Not Latino","65 or older",0.0437683051690807,0.13063762055099,174
