"month","race_eth2","educ","sex","unemprate","emprate"
2020-02-01,"Asian.Not Latino","High School","Male",0.012878917160028,0.0239128598596874
2020-03-01,"Asian.Not Latino","High School","Male",0.0308202274766328,0.0538804046359516
2020-04-01,"Asian.Not Latino","High School","Male",0.186377145309323,0.232017720108151
2020-05-01,"Asian.Not Latino","High School","Male",0.122136214172996,0.292534243415852
2020-06-01,"Asian.Not Latino","High School","Male",0.0942257228523807,0.279717211202174
2020-02-01,"Asian.Not Latino","Some college","Male",0.0235618966608263,0.0402076276720413
2020-03-01,"Asian.Not Latino","Some college","Male",0.0528329360381987,0.0673396986234414
2020-04-01,"Asian.Not Latino","Some college","Male",0.14163502835213,0.247991420471736
2020-05-01,"Asian.Not Latino","Some college","Male",0.0908236626484148,0.252993382218927
2020-06-01,"Asian.Not Latino","Some college","Male",0.0363855610304918,0.141565801181292
2020-02-01,"Asian.Not Latino",NA,"Male",0,0
2020-03-01,"Asian.Not Latino",NA,"Male",0,0.0821696029209386
2020-04-01,"Asian.Not Latino",NA,"Male",0.191166463370358,0.18319786314301
2020-05-01,"Asian.Not Latino",NA,"Male",0.323116886948672,0.352603746404406
2020-06-01,"Asian.Not Latino",NA,"Male",0,0.246024169976532
2020-02-01,"Black.Not Latino","< High School","Female",0.0489962460072346,0.0779341131906089
2020-03-01,"Black.Not Latino","< High School","Female",0.0627691934096126,0.079785320856281
2020-04-01,"Black.Not Latino","< High School","Female",0.115664045217622,0.322680726615708
2020-05-01,"Black.Not Latino","< High School","Female",0.0626032693047385,0.311573260776712
2020-06-01,"Black.Not Latino","< High School","Female",0.0205244598729888,0.185335610643867
2020-02-01,"Black.Not Latino","Bachelors +","Female",0.0295412773012152,0.0238030379516284
2020-03-01,"Black.Not Latino","Bachelors +","Female",0.0387551398446312,0.0173329119737259
2020-04-01,"Black.Not Latino","Bachelors +","Female",0.0547909615384883,0.0818354141281135
2020-05-01,"Black.Not Latino","Bachelors +","Female",0.0449272357094944,0.077758275699926
2020-06-01,"Black.Not Latino","Bachelors +","Female",0.055816370032043,0.0860983928472303
2020-02-01,"Black.Not Latino","High School","Female",0.0254692549878664,0.0896176579417891
2020-03-01,"Black.Not Latino","High School","Female",0.0415199181121715,0.102797573086735
2020-04-01,"Black.Not Latino","High School","Female",0.0911304892999941,0.225954215059
2020-05-01,"Black.Not Latino","High School","Female",0.0441109163930451,0.243381377530534
2020-06-01,"Black.Not Latino","High School","Female",0.0576571744897886,0.169840972463582
2020-02-01,"Black.Not Latino","Some college","Female",0.02891808267745,0.0461698068733771
2020-03-01,"Black.Not Latino","Some college","Female",0.0391950995096747,0.0646392392631958
2020-04-01,"Black.Not Latino","Some college","Female",0.0916796343621442,0.182313416177328
