"month","race_eth2","educ","sex","unemprate","emprate","nsamp"
2020-09-01,"AIAE.Not Latino","Some college","Male",0.0108321218515128,0.121687172125719,72
2020-10-01,"AIAE.Not Latino","Some college","Male",0.0704167556374672,0.095721887403917,76
2020-08-01,"AIAE.Not Latino",NA,"Male",0,0,1
2020-10-01,"AIAE.Not Latino",NA,"Male",0,0,1
2020-02-01,"Asian.Not Latino","< High School","Female",0.0268344474787399,0,54
2020-03-01,"Asian.Not Latino","< High School","Female",0.0202918022694243,0.0429888090315848,56
2020-04-01,"Asian.Not Latino","< High School","Female",0.167419419352181,0.374450104238038,57
2020-05-01,"Asian.Not Latino","< High School","Female",0.268318938640638,0.254581832521002,57
2020-06-01,"Asian.Not Latino","< High School","Female",0.0824759850236446,0.337676008159582,52
2020-07-01,"Asian.Not Latino","< High School","Female",0.0756078237920102,0.209515386942755,46
2020-08-01,"Asian.Not Latino","< High School","Female",0.0940788283877159,0.194398197091624,55
2020-09-01,"Asian.Not Latino","< High School","Female",0.00192987993479394,0.0706304280301185,58
2020-10-01,"Asian.Not Latino","< High School","Female",0,0.0606469802336519,56
2020-02-01,"Asian.Not Latino","Bachelors +","Female",0.039428722645122,0.0325487810448841,1009
2020-03-01,"Asian.Not Latino","Bachelors +","Female",0.0520652001671003,0.0381233292144539,903
2020-04-01,"Asian.Not Latino","Bachelors +","Female",0.0552112812403489,0.0908484132658803,857
2020-05-01,"Asian.Not Latino","Bachelors +","Female",0.0601731769277501,0.0963652542743676,809
2020-06-01,"Asian.Not Latino","Bachelors +","Female",0.0358704635699398,0.0933806347562467,775
2020-07-01,"Asian.Not Latino","Bachelors +","Female",0.0423875670798481,0.0990074868795995,782
2020-08-01,"Asian.Not Latino","Bachelors +","Female",0.04699643685939,0.0794226106931682,817
2020-09-01,"Asian.Not Latino","Bachelors +","Female",0.0312344666966545,0.0724846446222012,907
2020-10-01,"Asian.Not Latino","Bachelors +","Female",0.0155133186717563,0.0672148717017862,912
2020-02-01,"Asian.Not Latino","High School","Female",0.0331157746638582,0.0162999946429755,249
2020-03-01,"Asian.Not Latino","High School","Female",0.0654285814041358,0.0713842755282609,214
2020-04-01,"Asian.Not Latino","High School","Female",0.212097333186394,0.291520195905174,197
2020-05-01,"Asian.Not Latino","High School","Female",0.142975663037762,0.279530532792329,186
2020-06-01,"Asian.Not Latino","High School","Female",0.0473808789712728,0.287701458076488,194
2020-07-01,"Asian.Not Latino","High School","Female",0.0586512979929943,0.22401808042251,198
2020-08-01,"Asian.Not Latino","High School","Female",0.0305792081055,0.233966546838206,207
2020-09-01,"Asian.Not Latino","High School","Female",0.0177260648953836,0.198028797626049,228
2020-10-01,"Asian.Not Latino","High School","Female",0.0274291332070198,0.106034189950498,262
2020-02-01,"Asian.Not Latino","Some college","Female",0.0508874272680019,0.0264108859168674,274
2020-03-01,"Asian.Not Latino","Some college","Female",0.0688922826147187,0.0571693289571656,218
2020-04-01,"Asian.Not Latino","Some college","Female",0.141397031200613,0.262652879188382,202
2020-05-01,"Asian.Not Latino","Some college","Female",0.113365325676425,0.326298640978294,208
2020-06-01,"Asian.Not Latino","Some college","Female",0.0874257462332665,0.208712702985888,204
2020-07-01,"Asian.Not Latino","Some college","Female",0.0615959818023084,0.179759652384419,229
2020-08-01,"Asian.Not Latino","Some college","Female",0.0649935412764907,0.117943327977329,226
2020-09-01,"Asian.Not Latino","Some college","Female",0.0247570399046472,0.114255720923267,253
2020-10-01,"Asian.Not Latino","Some college","Female",0.0221369316221269,0.085859791733441,260
2020-02-01,"Asian.Not Latino",NA,"Female",0.0694191320942888,0,17
2020-03-01,"Asian.Not Latino",NA,"Female",0.0287978833482569,0,17
2020-04-01,"Asian.Not Latino",NA,"Female",0.305869052467506,0.22800862739593,15
2020-05-01,"Asian.Not Latino",NA,"Female",0.134422525729598,0.154249927101111,12
2020-06-01,"Asian.Not Latino",NA,"Female",0.0664991922370972,0.397016359426173,15
2020-07-01,"Asian.Not Latino",NA,"Female",0,0.226001674276423,16
2020-08-01,"Asian.Not Latino",NA,"Female",0.0865093367992319,0.0890727651333025,17
2020-09-01,"Asian.Not Latino",NA,"Female",0,0,17
2020-10-01,"Asian.Not Latino",NA,"Female",0,0.0640340493235183,20
2020-02-01,"Asian.Not Latino","< High School","Male",0.0303760691774048,0.016170707300935,76
2020-03-01,"Asian.Not Latino","< High School","Male",0.0235335536491944,0.0471022672166461,75
2020-04-01,"Asian.Not Latino","< High School","Male",0.16953323028106,0.275334880384739,70
2020-05-01,"Asian.Not Latino","< High School","Male",0.149538593113634,0.363724110603292,65
2020-06-01,"Asian.Not Latino","< High School","Male",0.0177190637018987,0.377507907715017,55
2020-07-01,"Asian.Not Latino","< High School","Male",0.0280862291758218,0.199504188664648,57
2020-08-01,"Asian.Not Latino","< High School","Male",0,0.217717170946509,61
2020-09-01,"Asian.Not Latino","< High School","Male",0,0.164463826221887,59
2020-10-01,"Asian.Not Latino","< High School","Male",0.0323672496151857,0.0985851212330526,59
2020-02-01,"Asian.Not Latino","Bachelors +","Male",0.0380621484658905,0.0198063123646099,1130
2020-03-01,"Asian.Not Latino","Bachelors +","Male",0.0244520067506185,0.0269579426411364,1003
2020-04-01,"Asian.Not Latino","Bachelors +","Male",0.0665611007021702,0.0720028730375556,937
2020-05-01,"Asian.Not Latino","Bachelors +","Male",0.047974140622152,0.0592608131381406,894
2020-06-01,"Asian.Not Latino","Bachelors +","Male",0.0250223101127591,0.0771361073250152,841
2020-07-01,"Asian.Not Latino","Bachelors +","Male",0.0198713667780449,0.063711644069709,839
2020-08-01,"Asian.Not Latino","Bachelors +","Male",0.0282925292948379,0.0548616497509311,883
2020-09-01,"Asian.Not Latino","Bachelors +","Male",0.0162195999509093,0.055789514788222,976
2020-10-01,"Asian.Not Latino","Bachelors +","Male",0.0210649998835983,0.0530352985565354,1012
2020-02-01,"Asian.Not Latino","High School","Male",0.012878917160028,0.0239128598596874,289
2020-03-01,"Asian.Not Latino","High School","Male",0.0308202274766328,0.0538804046359516,242
2020-04-01,"Asian.Not Latino","High School","Male",0.186377145309323,0.232017720108151,224
2020-05-01,"Asian.Not Latino","High School","Male",0.122136214172996,0.292534243415852,216
2020-06-01,"Asian.Not Latino","High School","Male",0.0942257228523807,0.279717211202174,212
2020-07-01,"Asian.Not Latino","High School","Male",0.0447679093852578,0.192020268258829,224
2020-08-01,"Asian.Not Latino","High School","Male",0.0368530712789908,0.209270447886772,239
2020-09-01,"Asian.Not Latino","High School","Male",0.0240949088803764,0.156473492326644,279
2020-10-01,"Asian.Not Latino","High School","Male",0.00911966204204977,0.083669466902015,304
2020-02-01,"Asian.Not Latino","Some college","Male",0.0235618966608263,0.0402076276720413,274
2020-03-01,"Asian.Not Latino","Some college","Male",0.0528329360381987,0.0673396986234414,242
2020-04-01,"Asian.Not Latino","Some college","Male",0.14163502835213,0.247991420471736,220
2020-05-01,"Asian.Not Latino","Some college","Male",0.0908236626484148,0.252993382218927,201
2020-06-01,"Asian.Not Latino","Some college","Male",0.0363855610304918,0.141565801181292,201
2020-07-01,"Asian.Not Latino","Some college","Male",0.0512679529132251,0.143698708599939,230
2020-08-01,"Asian.Not Latino","Some college","Male",0.0437688232071237,0.108135035886763,232
2020-09-01,"Asian.Not Latino","Some college","Male",0.0277381431762642,0.0760369129492385,271
2020-10-01,"Asian.Not Latino","Some college","Male",0.0257918940540138,0.0741722663271822,285
2020-02-01,"Asian.Not Latino",NA,"Male",0,0,13
2020-03-01,"Asian.Not Latino",NA,"Male",0,0.0821696029209386,13
2020-04-01,"Asian.Not Latino",NA,"Male",0.191166463370358,0.18319786314301,16
2020-05-01,"Asian.Not Latino",NA,"Male",0.323116886948672,0.352603746404406,14
2020-06-01,"Asian.Not Latino",NA,"Male",0,0.246024169976532,14
2020-07-01,"Asian.Not Latino",NA,"Male",0,0.530297585223045,14
2020-08-01,"Asian.Not Latino",NA,"Male",0,0.437970269261695,14
2020-09-01,"Asian.Not Latino",NA,"Male",0,0.193276374340808,11
2020-10-01,"Asian.Not Latino",NA,"Male",0,0.0906583795270882,17
2020-02-01,"Black.Not Latino","< High School","Female",0.0489962460072346,0.0779341131906089,169
2020-03-01,"Black.Not Latino","< High School","Female",0.0627691934096126,0.079785320856281,152
2020-04-01,"Black.Not Latino","< High School","Female",0.115664045217622,0.322680726615708,133
2020-05-01,"Black.Not Latino","< High School","Female",0.0626032693047385,0.311573260776712,137
2020-06-01,"Black.Not Latino","< High School","Female",0.0205244598729888,0.185335610643867,118
2020-07-01,"Black.Not Latino","< High School","Female",0.0636805588656624,0.203845814397972,102
2020-08-01,"Black.Not Latino","< High School","Female",0.0505935121872513,0.237410170279432,125
2020-09-01,"Black.Not Latino","< High School","Female",0.0430135909445833,0.202588617407292,161
2020-10-01,"Black.Not Latino","< High School","Female",0.0599856960745893,0.217424093493796,161
2020-02-01,"Black.Not Latino","Bachelors +","Female",0.0295412773012152,0.0238030379516284,1027
2020-03-01,"Black.Not Latino","Bachelors +","Female",0.0387551398446312,0.0173329119737259,865
2020-04-01,"Black.Not Latino","Bachelors +","Female",0.0547909615384883,0.0818354141281135,833
2020-05-01,"Black.Not Latino","Bachelors +","Female",0.0449272357094944,0.077758275699926,773
